State/ Territory1,Postcode,"Number of individuals
no.","Taxable income or loss
no.","Taxable income or loss
$","Average taxable income or loss3
$","Median taxable income or loss3
$",Australian rank5 descending,Ranking5 by state/ territory descending
ACT,2600,5646,5646,576633168,102131,72304,52,2
ACT,2601,2820,2820,183152915,64948,46378,473,19
ACT,2602,19924,19924,1420069972,71274,58469,307,10
ACT,2603,6650,6650,734120641,110394,73838,41,1
ACT,2604,7984,7984,697715067,87389,71682,126,3
ACT,2605,7574,7574,648087089,85567,65270,138,4
ACT,2606,6550,6550,458836485,70051,57687,333,12
ACT,2607,9403,9403,689252630,73301,57790,277,7
ACT,2608,76,76,5507040,72461,57075,288,8
ACT,2609,608,608,39118154,64339,49900,495,20
ACT,2610,83,83,4495253,54160,50178,1130,28
ACT,2611,18721,18721,1332501494,71177,61208,310,11
ACT,2612,10631,10631,801380529,75381,61229,242,5
ACT,2614,12586,12586,857348702,68119,54889,377,16
ACT,2615,27635,27635,1695436610,61351,55725,616,26
ACT,2616,164,164,12190827,74334,65322,262,6
ACT,2617,21761,21761,1352305570,62144,52615,582,25
ACT,2900,1406,1406,96072154,68330,60836,371,15
ACT,2901,72,72,4995119,69377,67659,348,13
ACT,2902,9527,9527,607148021,63729,54492,518,21
ACT,2903,6051,6051,380429167,62870,54991,546,23
ACT,2904,8714,8714,597222773,68536,58525,366,14
ACT,2905,18572,18572,1167066985,62840,56379,549,24
ACT,2906,11327,11327,719293660,63503,57570,528,22
ACT,2911,3012,3012,215087067,71410,65215,304,9
ACT,2912,3947,3947,237907044,60275,50692,680,27
ACT,2913,22836,22836,1508356257,66052,58470,425,18
ACT,2914,16503,16503,1114145443,67512,61376,391,17
NSW,1225,54,54,8934191,165448,77082,8,6
NSW,1230,72,72,5308341,73727,46818,269,95
NSW,1235,337,337,13019485,38633,20631,2525,624
NSW,1240,68,68,4771650,70171,34043,327,114
NSW,1335,83,83,6542194,78822,59980,206,81
NSW,1355,152,152,12277002,80770,40556,183,75
NSW,1360,93,93,11082602,119168,59055,31,17
NSW,1455,54,54,3062419,56711,53511,917,262
NSW,1460,68,68,4916634,72303,49331,292,101
NSW,1481,53,53,4067485,76745,37211,229,87
NSW,1485,78,78,4463618,57226,42060,881,248
NSW,1495,90,90,7328881,81432,53534,171,70
NSW,1499,68,68,3733077,54898,46676,1053,293
NSW,1585,72,72,4906439,68145,52789,375,132
NSW,1590,50,50,4975788,99516,55106,61,35
NSW,1595,57,57,7442017,130562,82484,18,12
NSW,1655,103,103,8369556,81258,41858,176,73
NSW,1660,83,83,5594324,67401,30684,396,138
NSW,1710,76,76,5362271,70556,43148,319,112
NSW,1750,73,73,4569021,62589,47154,556,179
NSW,1755,75,75,5244050,69921,45646,336,120
NSW,1765,91,91,7025801,77207,48773,222,86
NSW,1790,55,55,3881957,70581,60747,318,111
NSW,1835,50,50,1957430,39149,34284,2505,621
NSW,1871,62,62,3092374,49877,45420,1505,397
NSW,1885,72,72,4270504,59313,36200,738,215
NSW,2000,24459,24459,1631373847,66698,27138,415,142
NSW,2001,381,381,35521095,93231,45282,88,45
NSW,2002,95,95,4293849,45198,18178,2005,507
NSW,2006,68,68,5723915,84175,54764,153,63
