Year,Price,Suburb,,
1/1/08,0.5,Brunswick,,
1/1/09,0.6,Brunswick,,
1/1/10,0.7,Brunswick,,
1/1/11,0.7,Brunswick,,
1/1/12,0.7,Brunswick,,
1/1/13,0.8,Brunswick,,
1/1/14,0.8,Brunswick,,
1/1/15,0.9,Brunswick,,
1/1/16,0.9,Brunswick,,
1/1/17,1.2,Brunswick,,
1/1/18,1.1,Brunswick,,
1/1/19,1.0,Brunswick,,
1/1/08,0.4,Footscray,,
1/1/09,0.5,Footscray,,
1/1/10,0.6,Footscray,,
1/1/11,0.6,Footscray,,
1/1/12,0.6,Footscray,,
1/1/13,0.6,Footscray,,
1/1/14,0.6,Footscray,,
1/1/15,0.7,Footscray,,
1/1/16,0.8,Footscray,,
1/1/17,0.9,Footscray,,
1/1/18,0.9,Footscray,,
1/1/19,0.8,Footscray,,
1/1/08,2.6,Toorak,,
1/1/09,2.7,Toorak,,
1/1/10,2.6,Toorak,,
1/1/11,2.6,Toorak,,
1/1/12,2.8,Toorak,,
1/1/13,2.9,Toorak,,
1/1/14,3.4,Toorak,,
1/1/15,4.0,Toorak,,
1/1/16,4.9,Toorak,,
1/1/17,5.1,Toorak,,
1/1/18,4.6,Toorak,,
1/1/19,4.7,Toorak,,
