X,Y,OBJECTID,Facility_ID,FacilityName,StreetNo,StreetName,StreetType,SuburbTown,Postcode,Latitude,Longitude,FaciltySportPlayedID,SportsPlayed,NumberFieldCourts,FieldSurfaceType,FacilityAge,FacilityCondition,FacilityUpgradeAge,Changerooms,LGA
144.640316000407637,-37.89860099887899,9001,WYNDHA8530,Werribee Sports & Fitness Centre,,Ballan,Road,WERRIBEE,3030,-37.898601,144.640316,26686,Netball,5,Hard Court,,4. Good,,"Female, Male",WYNDHAM
144.727499999838756,-37.871999998637072,9002,WYNDHA11288,Hoppers Indoor Sportz,,Graham,Court,HOPPERS CROSSING,3029,-37.872,144.7275,26982,Netball (indoor),2,,,,,,WYNDHAM
144.65907399970385,-37.913491999158524,9003,WYNDHA8521,Riverside Indoor Sports,13,Riverside,Avenue,WERRIBEE,3030,-37.913492,144.659074,26667,Netball (Indoor),5,Carpet Playing Surface,,,,,WYNDHAM
144.674980000132223,-37.924110998697067,9004,WYNDHA8516,National Equestrian Centre,,K,Road,WERRIBEE,3030,-37.924111,144.67498,26653,Polo,2,,,,,,WYNDHAM
144.717829999780349,-37.840036999452082,9005,WYNDHA5496,Clearwood Drive Reserve,,Clearwood,Drive,TRUGANINA,,-37.840037,144.71783,27809,Rugby League,2,,0 - 5 Years,,New facility under construction,,WYNDHAM
144.609389000348926,-37.897068999087331,9006,WYNDHA11000,Haines Drive Reserve,,Haines,Road,WYNDHAM VALE,3024,-37.897069,144.609389,27810,Rugby League,2,,0 - 5 Years,5. Very Good,,"Female, Male, Umpire/Officials",WYNDHAM
144.609389000348926,-37.897068999087331,9007,WYNDHA11000,Haines Drive Reserve,,Haines,Road,WYNDHAM VALE,3024,-37.897069,144.609389,26571,Rugby Union,2,,0 - 5 Years,5. Very Good,,"Female, Male, Umpire/Officials, Unisex",WYNDHAM
144.692477999955145,-37.877436998950444,9008,WYNDHA8514,Mossfiel Reserve,,Heaths,Road,HOPPERS CROSSING,3029,-37.877437,144.692478,26647,Rugby Union,2,Grass,26 - 50 Years,3. Average,N/A,"Umpire/Officials, Unisex",WYNDHAM
144.64060300040083,-37.898302998889392,9009,WYNDHA11205,Wyndham Handgun Club,,Ballan,Road,WERRIBEE,3030,-37.898303,144.640603,27283,Shooting Sports,,,,,,,WYNDHAM
144.735336000124335,-37.880555998917892,9010,WYNDHA8492,Boardwalk Skate Park,,Boardwalk,Boulevard,POINT COOK,3030,-37.880556,144.735336,26594,Skating,1,Concrete,0 - 5 Years,3. Average,N/A,,WYNDHAM
144.497405999509823,-37.961416998986557,9011,WYNDHA8512,Little River Reserve,,You Yangs,Road,LITTLE RIVER,3211,-37.961417,144.497406,26640,Skating,1,Concrete,,,,,WYNDHAM
144.692477999955145,-37.877436998950444,9012,WYNDHA8514,Mossfiel Reserve,,Heaths,Road,HOPPERS CROSSING,3029,-37.877437,144.692478,26648,Skating,1,Concrete,11 - 25 Years,4. Good,< 1 Years,,WYNDHAM
144.634572000428648,-37.881809998999614,9013,WYNDHA8518,Presidents Park,,McGraths,Road,WERRIBEE,3030,-37.88181,144.634572,26658,Skating,1,Concrete,6 - 10 Years,3. Average,,,WYNDHAM
144.729418999695071,-37.860803999025535,9014,WYNDHA10998,Forsyth Road Reserve,,Forsyth,Road,TRUGANINA,3029,-37.860804,144.729419,26567,Soccer,2,Grass,0 - 5 Years,5. Very Good,,"Female, Male, Umpire/Officials, Unisex",WYNDHAM
144.729418999695071,-37.860803999025535,9015,WYNDHA10998,Forsyth Road Reserve,,Forsyth,Road,TRUGANINA,3029,-37.860804,144.729419,26566,Soccer,1,Artificial Turf,0 - 5 Years,5. Very Good,,"Female, Male, Umpire/Officials, Unisex",WYNDHAM
144.650409000095323,-37.887059999087704,9016,WYNDHA8502,Galvin Park,,Shaws,Road,WERRIBEE,3030,-37.88706,144.650409,26619,Soccer,3,Grass,11 - 25 Years,4. Good,Upgrade in progress,"Umpire/Officials, Unisex",WYNDHAM
144.676572000130335,-37.860884998867874,9017,WYNDHA8505,Grange Reserve Soccer Complex,,Hogans,Road,HOPPERS CROSSING,3029,-37.860885,144.676572,26622,Soccer,2,Grass,0 - 5 Years,5. Very Good,N/A,"Umpire/Officials, Unisex",WYNDHAM
144.676572000130335,-37.860884998867874,9018,WYNDHA8505,Grange Reserve Soccer Complex,,Hogans,Road,HOPPERS CROSSING,3029,-37.860885,144.676572,26623,Soccer,1,Artificial Turf,6 - 10 Years,5. Very Good,6 - 10 Years,"Umpire/Officials, Unisex",WYNDHAM
144.752502000044643,-37.909350999168893,9019,WYNDHA11003,Saltwater Reserve,,Point Cook,Road,POINT COOK,3030,-37.909351,144.752502,26580,Soccer,3,Artificial Turf,0 - 5 Years,5. Very Good,,"Female, Male, Umpire/Officials, Unisex",WYNDHAM
