"","X","Y","OBJECTID","Facility_ID","FacilityName","StreetNo","StreetName","StreetType","SuburbTown","Postcode","Latitude","Longitude","FaciltySportPlayedID","SportsPlayed","NumberFieldCourts","FieldSurfaceType","FacilityAge","FacilityCondition","FacilityUpgradeAge","Changerooms","LGA"
"1",144.974741999677,-37.7582709994082,6439,"MORELA5544","Powerplay Gym","66","Holmes","Street","Brunswick",3056,-37.758271,144.974742,27891,NA,NA,NA,NA,NA,NA,NA,"MORELAND"
"2",144.959527999612,-37.770640998786,6441,"MORELA13000","Brunswick City Baths","9","Pheonix","Street","Brunswick",3056,-37.770641,144.959528,21812,"Aerobics",NA,NA,"51 Years +","3. Average","New facility under construction","Female, Male","MORELAND"
"3",144.964625000089,-37.7750659988395,6443,"MORELA13016","Doherty's 24 Hour Gym Brunswick","45-49","Weston","Street","Brunswick",3056,-37.775066,144.964625,21848,"Aerobics",NA,NA,NA,NA,NA,NA,"MORELAND"
"4",144.951445999763,-37.7638359994843,6457,"MORELA13027","Gillon Oval",NA,"Pearson","Street","Brunswick",3056,-37.763836,144.951446,21870,"Australian Rules Football",1,"Grass","51 Years +","4. Good","N/A","Female, Male, Umpire/Officials","MORELAND"
"5",144.955866000351,-37.7675779988624,6466,"MORELA13025","Brunswick Sports Stadium","4","Gardiner","Street","Brunswick",3056,-37.767578,144.955866,21866,"Basketball",1,"Wooden Gymnasium",NA,"3. Average",NA,"Female, Male, Unisex","MORELAND"
"6",144.964625000089,-37.7750659988395,6469,"MORELA13016","Doherty's 24 Hour Gym Brunswick","45-49","Weston","Street","Brunswick",3056,-37.775066,144.964625,21849,"Boxing",NA,NA,NA,NA,NA,NA,"MORELAND"
"7",144.974741999677,-37.7582709994082,6470,"MORELA5544","Powerplay Gym","66","Holmes","Street","Brunswick",3056,-37.758271,144.974742,27890,"Boxing",NA,NA,NA,NA,NA,NA,"MORELAND"
"8",144.952733000255,-37.7665369987675,6476,"MORELA13005","Clifton Park",NA,"Albert","Street","Brunswick",3056,-37.766537,144.952733,21827,"Cricket",1,"Synthetic Pitch",NA,NA,"N/A",NA,"MORELAND"
"9",144.951445999763,-37.7638359994843,6483,"MORELA13027","Gillon Oval",NA,"Pearson","Street","Brunswick",3056,-37.763836,144.951446,21871,"Cricket",1,"Turf Pitch","51 Years +","4. Good","N/A","Female, Male, Umpire/Officials","MORELAND"
"10",144.951991999834,-37.7647479994261,6500,"MORELA12998","Brunswick Malletsports Club",NA,"Victoria","Street","Brunswick",3056,-37.764748,144.951992,21810,"Croquet",2,"Turf Pitch","51 Years +","1. Very Poor","N/A",NA,"MORELAND"
"11",144.98170300001,-37.7611659988794,6501,"MORELA12999","Brunswick Velodrome",NA,"Harrison","Street","Brunswick",3056,-37.761166,144.981703,21811,"Cycling",1,"Outdoor Velodrome","26 - 50 Years","1. Very Poor","N/A","Female, Male","MORELAND"
"12",144.958772999796,-37.7661629992397,6503,"MORELA5543","Anytime Fitness Brunswick","2","Percy","Street","Brunswick",3056,-37.766163,144.958773,27888,"Fitness / Gymnasium Workouts",1,NA,NA,NA,NA,NA,"MORELAND"
"13",144.959527999612,-37.770640998786,6505,"MORELA13000","Brunswick City Baths","9","Pheonix","Street","Brunswick",3056,-37.770641,144.959528,21813,"Fitness / Gymnasium Workouts",NA,NA,"51 Years +","3. Average","New facility under construction","Female, Male","MORELAND"
"14",144.964625000089,-37.7750659988395,6507,"MORELA13016","Doherty's 24 Hour Gym Brunswick","45-49","Weston","Street","Brunswick",3056,-37.775066,144.964625,21850,"Fitness / Gymnasium Workouts",NA,NA,NA,NA,NA,NA,"MORELAND"
"15",144.974741999677,-37.7582709994082,6512,"MORELA5544","Powerplay Gym","66","Holmes","Street","Brunswick",3056,-37.758271,144.974742,27889,"Fitness / Gymnasium Workouts",NA,NA,NA,NA,NA,NA,"MORELAND"
"16",144.950245999982,-37.7651569989165,6524,"MORELA13049","Reaburn Reserve",NA,"Pearson","Street","Brunswick",3056,-37.765157,144.950246,21910,"Netball",2,"Plexipave",NA,NA,"New facility under construction",NA,"MORELAND"
"17",144.955866000351,-37.7675779988624,6525,"MORELA13025","Brunswick Sports Stadium","4","Gardiner","Street","Brunswick",3056,-37.767578,144.955866,21867,"Netball (Indoor)",1,"Wooden Gymnasium",NA,"3. Average",NA,"Female, Male, Unisex","MORELAND"
