Year,Weekly Rent,Suburb
2008-01-01,370,Toorak
2009-01-01,385,Toorak
2010-01-01,400,Toorak
2011-01-01,415,Toorak
2012-01-01,450,Toorak
2013-01-01,442,Toorak
2014-01-01,450,Toorak
2015-01-01,451,Toorak
2016-01-01,463,Toorak
2017-01-01,484,Toorak
2018-01-01,500,Toorak
2019-01-01,500,Toorak
2008-01-01,243,Footscray
2009-01-01,270,Footscray
2010-01-01,298,Footscray
2011-01-01,308,Footscray
2012-01-01,323,Footscray
2013-01-01,324,Footscray
2014-01-01,330,Footscray
2015-01-01,330,Footscray
2016-01-01,346,Footscray
2017-01-01,361,Footscray
2018-01-01,371,Footscray
2019-01-01,380,Footscray
2008-01-01,291,Brunswick
2009-01-01,326,Brunswick
2010-01-01,353,Brunswick
2011-01-01,376,Brunswick
2012-01-01,394,Brunswick
2013-01-01,400,Brunswick
2014-01-01,399,Brunswick
2015-01-01,408,Brunswick
2016-01-01,423,Brunswick
2017-01-01,441,Brunswick
2018-01-01,455,Brunswick
2019-01-01,468,Brunswick
